inbound_id,inbound_date,po_no,item_code,vendor_code,inbound_qty
INB-00001,2026-06-12,PO-1345,ITM-011,V009,181
INB-00002,2026-06-13,PO-1020,ITM-001,V020,133
INB-00003,2026-06-13,PO-1072,ITM-063,V009,36
INB-00004,2026-06-14,PO-1331,ITM-040,V012,62
INB-00005,2026-06-15,PO-1269,ITM-002,V019,-6
INB-00006,2026-06-15,PO-1268,ITM-003,V022,137
INB-00007,2026-06-14,PO-1102,ITM-017,V007,140
INB-00008,2026-06-14,PO-1042,ITM-069,V015,87
INB-00009,2026-06-14,PO-1175,ITM-071,V011,157
INB-00010,2026-06-15,PO-1151,ITM-X981,V004,13
INB-00011,2026-06-13,PO-MISS-572,ITM-022,V014,143
INB-00012,2026-06-14,PO-1187,ITM-044,V006,15
INB-00013,2026-06-14,PO-1081,ITM-014,V012,198
INB-00014,2026-06-14,PO-1196,ITM-028,V009,46
INB-00015,2026-06-13,PO-1234,ITM-009,V990,177
INB-00016,2026-06-15,PO-1124,ITM-057,V003,82
INB-00017,2026-06-15,PO-1139,ITM-055,V005,179
INB-00018,2026-06-14,PO-MISS-125,ITM-060,V021,74
INB-00019,2026-06-15,PO-1153,ITM-026,V003,102
INB-00020,2026-06-14,PO-1161,ITM-069,V016,75
INB-00021,2026-06-14,PO-1028,ITM-052,V022,248
INB-00022,2026-06-12,PO-1110,ITM-031,V022,235
INB-00023,2026-06-14,PO-1151,ITM-040,V004,31
INB-00024,2026-06-13,PO-1142,ITM-049,V009,-18
INB-00025,2026-06-14,PO-1225,ITM-071,V005,144
INB-00026,2026-06-14,PO-1102,ITM-017,V007,249
INB-00027,2026-06-13,PO-1142,ITM-049,V009,-2
INB-00028,2026-06-13,PO-1339,ITM-024,V005,164
INB-00029,2026-06-13,PO-1061,ITM-039,V015,14
INB-00030,2026-06-12,PO-1332,ITM-065,V942,53
INB-00031,2026-06-15,PO-1162,ITM-076,V009,26
INB-00032,2026-06-13,PO-1242,ITM-050,V022,1
INB-00033,2026-06-13,PO-1127,ITM-050,V023,53
INB-00034,2026-06-15,PO-1153,ITM-026,V003,123
INB-00035,2026-06-13,PO-1038,ITM-013,V022,194
INB-00036,2026-06-14,PO-1153,ITM-026,V003,83
INB-00037,2026-06-14,PO-1141,ITM-028,V015,166
INB-00038,2026-06-12,PO-1028,ITM-052,V022,197
INB-00039,2026-06-12,PO-1305,ITM-015,V022,15
INB-00040,2026-06-12,PO-1262,ITM-037,V022,90
INB-00041,2026-06-15,PO-1078,ITM-071,V005,263
INB-00042,2026-06-12,PO-1273,ITM-013,V021,26
INB-00043,2026-06-15,PO-1027,ITM-070,V023,24
INB-00044,2026-06-14,PO-1222,ITM-053,V002,113
INB-00045,2026-06-12,PO-1186,ITM-037,V016,5
INB-00046,2026-06-14,PO-1068,ITM-014,V005,146
INB-00047,2026-06-12,PO-1272,ITM-033,V022,43
INB-00048,2026-06-14,PO-1123,ITM-063,V021,117
INB-00049,2026-06-15,PO-1336,ITM-080,V020,9
INB-00050,2026-06-15,PO-1226,ITM-063,V004,18
INB-00051,2026-06-13,PO-1052,ITM-041,V002,8
INB-00052,2026-06-14,PO-1151,ITM-040,V004,31
INB-00053,2026-06-15,PO-1090,ITM-045,V021,304
INB-00054,2026-06-12,PO-1061,ITM-039,V015,87
INB-00055,2026-06-14,PO-1054,ITM-008,V017,37
INB-00056,2026-06-13,PO-1266,ITM-062,V004,-20
INB-00057,2026-06-15,PO-1268,ITM-003,V022,137
INB-00058,2026-06-15,PO-1333,ITM-062,V008,66
