item_code,item_name,item_category
ITM-001,알루미늄 하우징 001,원자재
ITM-002,PCB 보드 002,전자부품
ITM-003,라벨 스티커 003,부자재
ITM-004,베어링 004,기구부품
ITM-005,장갑 005,소모품
ITM-006,스틸 브라켓 006,원자재
ITM-007,PCB 보드 007,전자부품
ITM-008,테이프 008,부자재
ITM-009,기어 샤프트 009,기구부품
ITM-010,작업용 천 010,소모품
ITM-011,ABS 수지 011,원자재
ITM-012,PCB 보드 012,전자부품
ITM-013,포장 박스 013,부자재
ITM-014,기어 샤프트 014,기구부품
ITM-015,장갑 015,소모품
ITM-016,스틸 브라켓 016,원자재
ITM-017,LED 모듈 017,전자부품
ITM-018,테이프 018,부자재
ITM-019,기어 샤프트 019,기구부품
ITM-020,작업용 천 020,소모품
ITM-021,스틸 브라켓 021,원자재
ITM-022,LED 모듈 022,전자부품
ITM-023,비닐 포장재 023,부자재
ITM-024,베어링 024,기구부품
ITM-025,윤활유 025,소모품
ITM-026,실리콘 패드 026,원자재
ITM-027,커넥터 027,전자부품
ITM-028,포장 박스 028,부자재
ITM-029,베어링 029,기구부품
ITM-030,윤활유 030,소모품
ITM-031,동판 031,원자재
ITM-032,커넥터 032,전자부품
ITM-033,완충재 033,부자재
ITM-034,베어링 034,기구부품
ITM-035,필터 035,소모품
ITM-036,알루미늄 하우징 036,원자재
ITM-037,PCB 보드 037,전자부품
ITM-038,비닐 포장재 038,부자재
ITM-039,기어 샤프트 039,기구부품
ITM-040,필터 040,소모품
ITM-041,동판 041,원자재
ITM-042,LED 모듈 042,전자부품
ITM-043,라벨 스티커 043,부자재
ITM-044,기어 샤프트 044,기구부품
ITM-045,윤활유 045,소모품
ITM-046,실리콘 패드 046,원자재
ITM-047,PCB 보드 047,전자부품
ITM-048,비닐 포장재 048,부자재
ITM-049,기어 샤프트 049,기구부품
ITM-050,작업용 천 050,소모품
ITM-051,동판 051,원자재
ITM-052,LED 모듈 052,전자부품
ITM-053,라벨 스티커 053,부자재
ITM-054,케이스 프레임 054,기구부품
ITM-055,장갑 055,소모품
ITM-056,알루미늄 하우징 056,원자재
ITM-057,PCB 보드 057,전자부품
ITM-058,완충재 058,부자재
ITM-059,힌지 059,기구부품
ITM-060,세척액 060,소모품
ITM-061,스틸 브라켓 061,원자재
ITM-062,PCB 보드 062,전자부품
ITM-063,비닐 포장재 063,부자재
ITM-064,힌지 064,기구부품
ITM-065,윤활유 065,소모품
ITM-066,동판 066,원자재
ITM-067,센서 모듈 067,전자부품
ITM-068,라벨 스티커 068,부자재
ITM-069,힌지 069,기구부품
ITM-070,장갑 070,소모품
ITM-071,동판 071,원자재
ITM-072,PCB 보드 072,전자부품
ITM-073,테이프 073,부자재
ITM-074,베어링 074,기구부품
ITM-075,작업용 천 075,소모품
ITM-076,스틸 브라켓 076,원자재
ITM-077,센서 모듈 077,전자부품
ITM-078,비닐 포장재 078,부자재
ITM-079,스프링 079,기구부품
ITM-080,필터 080,소모품
