po_no,item_code,vendor_code,order_qty,order_date
PO-1001,ITM-072,V008,186,2026-06-01
PO-1002,ITM-030,V002,181,2026-06-07
PO-1003,ITM-035,V003,128,2026-06-10
PO-1004,ITM-041,V007,275,2026-06-07
PO-1005,ITM-059,V005,155,2026-06-03
PO-1006,ITM-032,V018,295,2026-06-05
PO-1007,ITM-075,V014,224,2026-06-06
PO-1008,ITM-029,V005,280,2026-06-08
PO-1009,ITM-012,V002,76,2026-06-03
PO-1010,ITM-021,V022,236,2026-06-10
PO-1011,ITM-009,V013,215,2026-06-10
PO-1012,ITM-060,V017,148,2026-06-09
PO-1013,ITM-002,V022,78,2026-06-11
PO-1014,ITM-069,V009,194,2026-06-02
PO-1015,ITM-038,V014,100,2026-06-08
PO-1016,ITM-001,V009,276,2026-06-03
PO-1017,ITM-065,V004,172,2026-06-11
PO-1018,ITM-065,V020,121,2026-06-03
PO-1019,ITM-048,V006,296,2026-06-09
PO-1020,ITM-001,V020,185,2026-06-08
PO-1021,ITM-003,V004,205,2026-06-05
PO-1022,ITM-031,V002,143,2026-06-10
PO-1023,ITM-011,V003,268,2026-06-02
PO-1024,ITM-069,V005,85,2026-06-11
PO-1025,ITM-061,V018,104,2026-06-05
PO-1026,ITM-068,V020,236,2026-06-04
PO-1027,ITM-070,V023,122,2026-06-05
PO-1028,ITM-052,V022,211,2026-06-08
PO-1029,ITM-067,V015,81,2026-06-04
PO-1030,ITM-029,V003,193,2026-06-01
PO-1031,ITM-076,V018,137,2026-06-10
PO-1032,ITM-029,V001,56,2026-06-11
PO-1033,ITM-008,V008,54,2026-06-01
PO-1034,ITM-043,V003,283,2026-06-04
PO-1035,ITM-036,V022,268,2026-06-04
PO-1036,ITM-070,V005,262,2026-06-04
PO-1037,ITM-061,V014,117,2026-06-02
PO-1038,ITM-013,V022,240,2026-06-06
PO-1039,ITM-055,V014,259,2026-06-01
PO-1040,ITM-013,V002,226,2026-06-06
PO-1041,ITM-014,V008,118,2026-06-04
PO-1042,ITM-069,V015,91,2026-06-07
PO-1043,ITM-024,V009,256,2026-06-04
PO-1044,ITM-010,V015,70,2026-06-01
PO-1045,ITM-070,V001,67,2026-06-04
PO-1046,ITM-022,V014,268,2026-06-08
PO-1047,ITM-028,V013,50,2026-06-03
PO-1048,ITM-049,V001,219,2026-06-05
PO-1049,ITM-059,V010,236,2026-06-09
PO-1050,ITM-063,V005,117,2026-06-05
PO-1051,ITM-028,V002,297,2026-06-01
PO-1052,ITM-041,V002,45,2026-06-10
PO-1053,ITM-062,V017,291,2026-06-03
PO-1054,ITM-008,V017,61,2026-06-03
PO-1055,ITM-009,V020,54,2026-06-11
PO-1056,ITM-031,V013,81,2026-06-10
PO-1057,ITM-032,V019,40,2026-06-10
PO-1058,ITM-011,V014,287,2026-06-06
PO-1059,ITM-034,V007,180,2026-06-04
PO-1060,ITM-034,V013,87,2026-06-11
PO-1061,ITM-039,V015,181,2026-06-02
PO-1062,ITM-002,V015,71,2026-06-02
PO-1063,ITM-069,V007,279,2026-06-05
PO-1064,ITM-017,V012,55,2026-06-04
PO-1065,ITM-048,V010,100,2026-06-08
PO-1066,ITM-070,V023,174,2026-06-10
PO-1067,ITM-068,V001,173,2026-06-11
PO-1068,ITM-014,V005,155,2026-06-02
